"Posing on a Swing","Whimsical","","light brown near blonde","messy and wet","Sitting on a swing, toes pointing towards the viewer ","Romantic summery","red sequined","dress","dark green","skirt","black","sandals","gold anklet","Dreamy and playful","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Lush garden with a wooden swing, blooming roses, and soft twilight light","Twilight romantic glow, pastel hues","Frontal soft-focus shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Picking Flowers in a Meadow","Serene","","golden","loose waves","Kneeling to pick flowers","Bohemian casual","emerald green","silk blouse","cream lace","skirt","silver","slippers","gold bangle","Calm and whimsical","Subtle shimmer, lavender lip gloss, soft eyeshadow","Wildflower meadow with rolling hills, scattered daisies, and midday sunlight","Midday serene breeze, bright sunlight","Full-body frontal angled shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Posing in a Neon Arcade","Bold","","jet-black","spiky","Leaning against a claw machine ","Urban chic","black","cropped tee","navy","high-waisted jeans","white","sneakers","gold bangle","Confident and vibrant","Bold red lipstick, winged eyeliner, glowing highlighter","Bustling Tokyo arcade with neon signs, claw machines, and pulsing lights","Nighttime electric vibe, neon glow","Frontal dynamic fisheye shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Relaxing on a Hammock","Tranquil","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","sleek, high bun","Reclining on a hammock ","Tropical casual","multicolored floral","bikini top","white","sarong","tan","sandals","woven straw hat","Relaxed and serene","Dewy finish, nude lipstick, soft eyeliner","Tropical island with palm trees, turquoise lagoon, and golden hour light","Golden hour tropical calm, warm sunlight","Full-body frontal soft-focus shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Wide Shot"
"Relaxing in a Park","Proud","","raven black","high, messy ponytail","Tugging a sheer blouse slipping off one shoulder","Ultra-casual","white linen","athleisure top","plaid","crop top","Pink","ballet flats","silver choker","Tranquil and graceful","Natural glow, nude lipstick, soft eyeliner","Neon-lit loft with exposed brick, half-open curtains","Sunrise serene elegance, soft peach glow","Down-to-knees frontal shot, focusing on standing pose and lace details","Tags/Keywords","Portrait","Medium Shot"
"Posing in a Luxurious Foyer","Dreamy","","wine red","sleek ponytail","Sitting on a counter, toes pointing towards the viewer, adjusting a slipping towel","Casual sporty","iridescent purple","wrap dress","Royal purple","Tube dress","Carbon grey","T-strap heels","Rolex watch","Playful and radiant","Natural, day to day","Steamy bathroom with fogged mirror, rose petals","Nighttime electric vibe, neon glow","Frontal mirror shot, looking directly to the viewer","Tags/Keywords","Landscape","Close-Up"
"Browsing a Bookstore","Cheerful","","ash-grey","curtained hair with parted bangs","Stretching with arms raised, loose shirt lifting slightly","Casual chic","shiny gold","crop top","emerald green","high-waisted denim skirt","Dirty and old","espadrilles","gold necklace","Calm and charming","Dewy finish, soft coral lip tint, light blush","Sunlit rooftop with glass railings, city skyline","Midday playful breeze, bright sunlight","High-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"Browsing a Bookstore","licentious","","wine red","high ponytail","Leaning against a mirror, tugging a damp crop top","Playful summery","white","jumpsuit","micro","Knife pleated skirt","black","heels","gold hoop earrings","Relaxed and slightly bored","Natural glow, coral lip gloss, subtle eyeliner","Dimly lit dressing room with velvet curtains","Midday trendy spark with bright, even light casting a natural glow","Down-to-knees frontal angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Over-the-Shoulder"
"Posing for a Beauty Photoshoot","Introspective","","caramel","sleek, side-parted ponytail","Standing with one hand on railing, wind lifting a sheer scarf","Casual chic","Sheer chiffon","blouse","Sexy","micro shorts","Blue and shiny","Moccasin","floral hairband","Sultry and rhythmic","Soft coral lipstick, dewy blush, subtle mascara","Neon-lit balcony with sheer curtains, city lights","Midday creative tease, warm sunlight","Down-to-knees angle shot, capturing curious posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Close-Up"
"Stretching on a Cliffside","Optimistic","","raven black","half updo","Pulling a dress over her head, revealing bare shoulders","Trendy casual","cream lace","Camisole","Sexy revealing","Bottom Clothing","silver","jade pendant","woven bracelet","Calm and inspired","Natural look, nude lip gloss, subtle blush","Candlelit bedroom with rumpled sheets, soft shadows","Nighttime cozy tease, warm pendant lights","Full-body frontal shot, focusing on walking pose and lace details","Tags/Keywords","Landscape","Close-Up"
"Cooking in a Kitchen","Tranquil","","soft auburn","sleek, low ponytail","Sitting on a stool, toes pointing towards the viewer, tugging a sheer blouse","Casual chic","Off-shoulder, lapis blue","oversized shirt","Peach colour","thongs","green","Jelly flats","nautical charm bracelet","Vibrant and engaging","Natural look, nude lip gloss, subtle blush","Sunlit studio with canvas, scattered paint","Dusk artistic vibe, warm streetlight glow","Centered close shot, emphasizing serene posture","Tags/Keywords","Portrait","Over-the-Shoulder"
"Shopping at a Farmers’ Market","Shameful","","ash-grey","Hairstyle","Leaning over a railing, loose top falling slightly open","Eclectic chef","Yellow and wet","oversized tee","matching","bicycle shorts","chinoise green","slippers","beaded anklet","Relaxed and content","Bold coral lipstick, smoky eyeshadow, glowing highlighter","Twilight terrace with string lights, city skyline","Evening artistic allure, warm chandelier glow","Frontal soft-focus shot, looking directly to the viewer","Tags/Keywords","Portrait","Low-Angle Shot"
"Lounging in a Cabana","Excited","","Hair Colour","soft, tousled waves","Adjusting a loose sarong slipping off one hip","Ultra-casual","apricot","tee","admiral","A-line skirt","black","slingback heels","Rolex watch","Graceful and composed","Soft coral lipstick, dewy blush, subtle mascara","Tropical beach with palm trees, turquoise waves","Morning chic vibe with bright, soft light casting a natural glow","Frontal mid-level shot, looking directly to the viewer","Tags/Keywords","Portrait","Close-Up"
"Browsing a Bookstore","Clueless","","jet-black","Spiky","Leaning in a doorway, unbuttoned shirt revealing bare shoulders","Stylish casual","apricot","One-piece","Carbon grey","mini skirt","chinoise green","crystal pendant","rose quartz pendant","Bold and vibrant","Natural glow, soft pink lipstick, subtle blush","Dimly lit hallway with half-open door, soft shadows","Evening artistic allure, warm chandelier glow","Dutch angle shot, capturing artistic focus","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Medium Shot"
"Lounging by a Fountain","vibrant","","green","high ponytail","Stretching with arms raised, loose sarong slipping slightly","Mystical glamour","Ash grey","mini dress","Carbon grey","A-line micro skirt","silver","Slingback heels","Rolex watch","Playful and confident","Natural glow, bold red lipstick, subtle eyeliner","Twilight balcony with sheer curtains, city lights","Evening gentle calm with soft, warm light casting a natural glow","Starlit close shot, capturing whimsical expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Low-Angle Shot"
"Adjusting Sunglasses on a Rooftop","Gorgeous","","pink","uneven twin tails","Sitting on a ledge, toes pointing towards the viewer, adjusting a damp top","Mystical glamour","black sequined","crop top","blue","A-line micro skirt","Red and shiny","stilettos","beaded necklace","Serene and focused","Natural glow, matte nude lipstick, light contour","Rain-soaked rooftop with wet railings, city skyline","Evening enchanted glow, magical ambiance","Waist-up frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Portrait","Wide Shot"
"Checking Herself in the Mirror","Dreamy","","pink","messy and wet","Leaning against a fountain, sheer top clinging to skin","Chic casual","unbuttoned","silk robe","emerald green","Trousers with white stripes","Stone blue","moccasin","gold necklace","Relaxed yet sultry","Natural glow, peach lip tint, subtle eyeliner","Marble fountain plaza with blooming flowers","Twilight festive allure, neon glow","Soft-focus close shot, emphasizing playful expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Wide Shot"
"Sketching in a City Plaza","Shameful","","pink","voluminous, wavy style","Posing with one hand on hip, loose top slipping off shoulder","Playful futuristic","Ripped","tunic","damson","thongs","tan","silver anklet","silver stud earrings","Sultry and rhythmic","Natural, day to day","Industrial loft with exposed pipes, soft candlelight","Afternoon minimalist calm, soft natural light","Waist-up frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Wide Shot"
"Sipping Juice on a Park Bench","Shameful","","raven black","casual, messy braid","Tugging a sheer scarf slipping off chest","Relaxed casual","Chinoise green","sweater","Royal purple","skin tight","Red and shiny","Kitten heels","beaded necklace","Dreamy and whimsical","Dewy finish, soft rose lipstick, light blush","Sunlit penthouse with glass walls, potted palms","Evening cozy calm, warm soft light","Mid-level shot, capturing relaxed posture","Tags/Keywords","Portrait","Wide Shot"
"Dancing on a Beach","Confident","","baby blue","straight style","Leaning against a wall, damp top clinging to skin","Sensual minimalist","cream","sweater","pale green","Bicycle shorts","wedge sneakers","loafers","Accessories","Joyful and energetic","Dewy finish, soft rose lipstick, light blush","Rain-soaked courtyard with stone walls, wet leaves","Mood/Lighting/Vibe","Full-body frontal side-angle shot, looking directly to the viewer","Tags/Keywords","Orientation","Over-the-Shoulder"
"Posing by a Street Mural","Jealous","","pink","curtained hair with parted bangs","Sitting on a bench, toes pointing towards the viewer, adjusting a loose top","Glamorous chic","Saratoga green","mini dress","Wet see-thru","jeans","Barefoot","sneakers","beaded anklet","Cheerful and energetic","Natural glow, peach lip gloss, subtle blush","Sunlit plaza with cobblestone paths, blooming vines","Evening urban buzz, neon-lit ambiance","Side-tracking shot, capturing casual posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Close-Up"
"Painting a Canvas","drunk","","blonde","high, messy ponytail","Leaning in a doorway, unbuttoned top revealing bare shoulders","Sensual minimalist","cream","bikini top","cream lace","high-waisted jeans","Dirty and old","silver choker","beaded necklace","Playful and curious","Dewy finish, nude lipstick, soft mascara","Candlelit hallway with wooden floors, soft shadows","Afternoon quiet focus with soft, diffused light casting a gentle glow","Over-the-shoulder frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"Browsing a Street Market","Regretful","","teal","straight with wispy bangs","Stretching with arms raised, loose top slipping slightly","Ethereal activewear","Off-shoulder, lapis blue","crop top","Bottom Clothing Description","g-string","Red and shiny","slingback heels","woven wristband","Focused and lively","Natural sheen, nude lip tint, soft brow pencil","Tropical terrace with palm trees, turquoise lagoon","Afternoon playful vibe, soft afternoon light","Frontal reflective angle shot, engaging the viewer","Tags/Keywords","Orientation","Wide Shot"
"Performing on a Beach Runway","Mystical","","golden","loose, wavy ponytail","Tugging a damp top clinging to skin","Rugged explorer","unbuttoned","jacket","Sexy revealing","leggings","Carbon grey","platform pumps","woven straw hat","Calm and whimsical","Natural look, soft coral lip tint, light mascara","Rain-soaked balcony with wet railings, city lights","Afternoon quiet calm, soft natural light","Frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Over-the-Shoulder"
"Adjusting Earphones","annoyed","","baby blue","shoulder-length waves","Unbuttoning her top, revealing bare shoulders","Trendy chic","floral","Camisole","Chinoise green","black lace panties","Blue and shiny","Bow sandals","Accessories","Focused and inspired","Natural glow, coral lip gloss, subtle eyeliner","Candlelit bedroom with velvet curtains, soft shadows","Midday festive energy, bright sunlight","Full-body frontal tracking shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Wide Shot"
"Pushing a Shopping Cart","licentious","","pink","sleek, low ponytail","Sitting on a ledge, toes pointing towards the viewer, adjusting a slipping scarf","Trendy casual","sheer peach","kimono-style top","unbuttoned","thongs","green","beaded anklet","floral scarf","Sultry and alluring","Dewy finish, soft peach lipstick, light eyeliner","Sunlit rooftop with glass railings, potted palms","Dusk playful serenity, shimmering glow","Side-tracking frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Low-Angle Shot"
"Shopping at a Farmers’ Market","Introspective","","pink","wavy style","Leaning against a mirror, tugging a damp top","Sensual urban","white linen","bikini top","pale green","black lace panties","Pink","stilettos","gold bangle","Relaxed and content","Bold coral lipstick, smoky eyeshadow, glowing highlighter","Dimly lit dressing room with fogged mirror","Morning serene charm, gentle morning light","Side-tracking frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Low-Angle Shot"
"Sipping a Cocktail","beautiful","","light brown near blonde","uneven twin tails","Standing in a fountain, damp top clinging to skin","Cosmic bohemian","Ripped","blouse","revealing","high-waisted shorts","green","kitten heels","silver anklet","Dreamy and playful","Natural sheen, nude lip tint, soft brow pencil","Marble fountain plaza with blooming flowers","Afternoon playful vibe, soft afternoon light","Frontal mirror dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Wide Shot"
"Dancing on a Beach","licentious","","jet-black","half updo","Stretching with arms raised, loose top lifting slightly","Sensual minimalist","bright orange","jacket","white with lace trim","tank top","black","beaded anklet","crystal pendant","Radiant and playful","Soft coral lipstick, dewy blush, subtle mascara","Sunlit terrace with string lights, city skyline","Sunrise serene flow, golden rays through mist","Frontal soft-focus shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Wide Shot"
"Getting Ready for a Date","ethereal","","pink","messy bun","Tugging a sheer scarf slipping off chest","Everyday casual","pale green","silk blouse","mustard yellow","high-waisted shorts","Barefoot","platform pumps","rose gold ring","Sultry and rhythmic","Natural glow, nude lip balm, subtle highlighter","Neon-lit arcade with claw machines, pulsing lights","Evening playful vibe, neon glow","Side-tracking frontal shot, looking directly to the viewer","Tags/Keywords","Landscape","Cinematic Framing"
"Trying on Sunglasses in a Boutique","Inquisitive","","golden blonde","casual, messy braid","Sitting on a stool, toes pointing towards the viewer, adjusting her top","Eclectic chef","Ruby colour","oversized shirt","denim","leggings","Footwear Description","slingback heels","Rolex watch","Vibrant and engaging","Natural glow, coral lip gloss, subtle eyeliner","Rain-soaked courtyard with stone walls, wet leaves","Twilight mystical adventure, bioluminescent glow","Mid-level frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Close-Up"
"Strolling with a Smoothie","Vibrant","","golden blonde","messy, wet updo","Leaning in a doorway, unbuttoned shirt revealing bare shoulders","Playful futuristic","Sheer see-through","silk blouse","stone blue","black lace panties","Barefoot","Keds","woven wristband","Playful and excited","Natural glow, nude lip tint, light eyeliner","Candlelit hallway with half-open door, soft shadows","Afternoon bold flair with warm, diffused light casting a soft glow","Starlit frontal close shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Close-Up"
"Posing by a Street Mural","promiscuous","","raven black","Spiky","Standing in a fountain, damp top clinging to skin","Bohemian casual","shiny gold","bikini top","Chinoise green","high-waisted denim shorts","Blue and shiny","ankle boots","woven straw hat","Bold and vibrant","Dewy finish, bold peach lipstick, soft eyeliner","Marble fountain plaza with blooming flowers","Evening enchanted glow, magical ambiance","High-angle frontal shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
"Dancing by the Windows","drunk","","wine red","high, messy ponytail","Stretching with arms raised, loose top slipping slightly","Professional chic","Top Clothing Description","crop top","black sequined","Bottom Clothing","barefoot","Wedge sneakers","gold bangle","Focused and inspired","Subtle shimmer, lavender lip gloss, soft eyeshadow","Tropical terrace with palm trees, turquoise lagoon","Evening playful vibe, neon glow","Centered frontal close shot, looking directly to the viewer","Tags/Keywords","Landscape","Cinematic Framing"
"","","","","","Crouching to adjust canvas ","Minimalist sensual","sheer peach","tee","Canary yellow","high-waisted denim skirt","Blue and shiny","silver choker","pink scrunchie","Sultry and rhythmic","Dewy finish, soft peach lipstick, light eyeliner","Picturesque urban scene illuminated by soft, warm lighting, capturing life in a historic alleyway during twilight. The stone buildings, adorned with festive decorations, create a charming, inviting atmosphere. The scene features quaint storefronts, with one showcasing colorful items that catch the viewer’s eye. The streets are lined with greenery, enhancing the festive mood. Snowflakes hang from the wire above, giving a whimsical touch. The alley is bustling with a few pedestrians. The deep blue sky contrasts beautifully with the warm yellows and oranges glowing from the windows, emphasizing the serene yet lively ambiance.","Dawn tranquil harmony, soft dawn light","Full-body frontal side-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Portrait","Over-the-Shoulder"
"","","","","","Reclining on a bench, toes pointing towards the viewer ","Bohemian casual","sheer peach","oversized tee","Pearl colour","shorts","yellow","Slipons","floral hairband","Radiant and carefree","Dewy finish, soft pink lip tint, light mascara","Modern bedroom with a large window showcasing a cityscape infused with surreal orange and pink clouds, featuring a bed with a rocking chair, surrounded by an ethereal atmosphere","Dawn tranquil grace, soft dawn light","Low-angle portrait shot, emphasizing meditative focus","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Low-Angle Shot"
"","","","","","Leaning over counter ","Glamorous performance","oversized","towel","pale green","thongs","white","bow sandals","floral scarf","Graceful and composed","Dewy finish, soft peach lip tint, subtle blush","Cozy bedroom with a plush fur-covered bed, dark wood paneling with carved floral patterns, and a hanging pendant lamp casting a warm, golden glow, surrounded by an enchanted atmosphere with subtle emerald and ruby sparkles dancing in the air","Sunrise serene flow, golden rays through mist","Wide tracking shot, following dynamic leap","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Lounging on rocks ","Casual bohemian","Sheer chiffon","apron dress","Sexy","Bicycle shorts","Chinoise green","ankle boots","gold necklace","Radiant and carefree","Natural look, clear lip gloss, light mascara","Sunlit coastal road with a vintage convertible, ocean waves in the background","Afternoon elegant grace, soft sunlight","Down-to-knees angle shot, capturing curious posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Close-Up"
"","","","","","Twirling a spoon ","Romantic casual","Stone blue","flowy dress","unbuttoned","Panties","Pink and shiny","Bow sandals","beaded necklace","Serene and introspective","Dewy finish, bold peach lipstick, soft eyeliner","Striking, futuristic bedroom with large windows offering a panoramic view of a bustling neon-lit cityscape at night. The room features sleek metallic surfaces with rich reddish hues reflecting ambient light. Subtle blue and purple tones illuminate the space, emanating from outside, creating a moody yet inviting atmosphere. The bed is adorned with luxurious fabrics, featuring intricate patterns, and is complemented by plush cushions, suggesting comfort and elegance. The composition showcases the juxtaposition of modern architecture against a vibrant city backdrop, filled with towering skyscrapers and bright advertisements. The overall ambiance evokes feelings of serenity amidst urban vibrancy.","Evening enchanted glow, warm lighting","Frontal dynamic fisheye shot, looking directly to the viewer","Tags/Keywords","Portrait","Cinematic Framing"
"","","","","","Posing thoughtfully ","Trendy chic","mustard yellow","silk blouse","black","g-string","black","mules","floral hairband","Enchanted and captivating","Natural glow, bold red lipstick, subtle eyeliner","Neon-lit arcade with claw machines, pulsing lights","Nighttime electric vibe, neon glow","Camera Angle","Tags/Keywords","Landscape","Over-the-Shoulder"
"","","","","","Posing with one hand on hip ","Bohemian artist","white","One-piece","Ash grey","high-waisted shorts","Dirty and old","slides","wooden bead bracelet","Dreamy and whimsical","Dewy finish, bold peach lipstick, soft eyeliner","Trendy shoe boutique with mirrored walls, colorful displays, and midday light","Evening urban energy, neon glow","Starlit frontal close shot, engaging the viewer","Tags/Keywords","Orientation","Low-Angle Shot"
"","","","","","Spinning gracefully ","Casual bohemian","multicolored floral","fitted tee","deep violet","high-waisted shorts","Chinoise green","Bow sandals","gold bangle","Bold and harmonious","Natural glow, nude lip tint, light eyeliner","Sunlit rooftop with glass railings, potted palms","Evening artistic allure, warm chandelier glow","Tracking shot, following fluid motion","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Wide Shot"
"","","","","","Posing confidently with hands on hips","Casual bohemian","mustard yellow","mini dress","red sequined","high-waisted jeans","Carbon grey","Footwear","woven straw hat","Curious and assertive","Shimmering finish, plum lip color, soft contour","Outdoor pool party with a shimmering pool, floating neon balloons in purple and pink, and modern buildings with reflective glass, surrounded by a surreal crowd silhouette under a twilight sky","Midday trendy spark with bright, even light casting a natural glow","Waist-up soft shot, capturing inspired expression","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Cinematic Framing"
"","","","","","Reaching for a book ","Trendy boho","sheer","blouse","dark green","micro shorts","silver","ballet flats","nautical charm bracelet","Thoughtful and warm","Natural sheen, nude lip tint, soft brow pencil","Chic boutique with mirrored walls, colorful clothing racks, and afternoon light through frosted windows","Evening ethereal glow, surreal lighting","Low-angle close shot, highlighting curious stance","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Over-the-Shoulder"
"","","","","","Kneeling to paint ","Playful summery","shiny gold","tunic","unbuttoned","trousers","white","stiletto heels","gold chain necklace","Relaxed and slightly bored","Dewy finish, bold peach lipstick, soft eyeliner","Neon-lit arcade with claw machines, pulsing lights","Noon bold harmony, crisp warm glow","Full-body frontal shot, focusing on lying pose and lace details","Tags/Keywords","Orientation","Cinematic Framing"
"","","","","","Stretching on a blanket ","Casual summery","Yellow and wet","robe","micro","black lace panties","Stone blue","silver anklet","silver choker","Cheerful and energetic","Natural glow, soft peach lipstick, light eyeliner","Modern bedroom with a minimalist design, featuring a low-profile bed with beige bedding, a textured wall with subtle gold flecks, and a large floor-to-ceiling window allowing ethereal morning light to flood the room, surrounded by a dreamy atmosphere with soft ambient glow from recessed ceiling lights casting a faint rainbow shimmer","Nighttime cozy tease, warm pendant lights","Waist-up close shot, emphasizing serene expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"","","","","","Holding a basket ","Ultra-casual","Sheer chiffon","flowy dress","pale green","bicycle shorts","yellow","Moccasin","jade pendant","Sultry and alluring","Natural glow, nude lip balm, subtle highlighter","Sunlit rooftop with glass railings, potted palms","Sunrise ethereal calm, golden sunlight through mist","Full-body tracking shot, capturing carefree stride","photorealistic, ultra-detailed, 8K resolution, cinematic, summery, radiant glow, soft focus, intricate textures","Orientation","Low-Angle Shot"
"","","","","","Twisting rhythmically ","Bohemian summery","oversized","robe","emerald green","thongs","Blue and shiny","hiking boots","woven bracelet","Focused yet teasing","Dewy glow, peach lip tint, light mascara","Busy subway station in Singapore with neon lights, tiled walls, and fast-paced commuters","Morning urban stroll with bright morning light casting a natural glow","Frontal stage shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Orientation","Medium Shot"
"","","","","","Balancing in tree pose","Traditional elegance","Off-shoulder, lapis blue","Top Clothing","revealing","Tube dress","chinoise green","Tractor platform","jade pendant","Expressive and warm","Shimmering finish, plum lip color, soft contour","Candlelit hallway with half-open door, soft shadows","Evening soulful vibe, warm string lights","Overhead shot, capturing focused posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Medium Shot"
"","","","","","Adjusting camera ","Cosmic bohemian","shiny gold","Top Clothing","Chinoise green","Trousers with white stripes","Barefoot","Slipons","silver stud earrings","Confident and carefree","Dewy finish, soft pink lip tint, light mascara","Coastal dunes with golden sand, scattered sea oats, and a gentle ocean wave in the background","Sunset vibrant energy, warm golden glow","Side-tracking shot, capturing casual posture","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"","","","","","Crouching to inspect rocks ","Glamorous futuristic","Sage","towel","damson","Bicycle shorts","nude","beaded anklet","nautical charm bracelet","Dreamy and whimsical","Dewy finish, nude lip tint, subtle blush","Floating kitchen on a river barge, oak counter, hanging copper pots, skylight with noon sunlight, floating lily pads, small herb garden in terracotta pots","Nighttime urban allure, neon-lit ambiance","Full-body side-angle shot, capturing relaxed posture","Tags/Keywords","Portrait","Low-Angle Shot"
"","","","","","Pouring tea gracefully ","Sensual urban","ash grey","crop top","white with lace trim","jeans","wedge sneakers","slides","rose gold ring","Serene and focused","Dewy finish, nude lipstick, soft mascara","Disneyland in Miami, with colorful parade floats, palm trees, and a sandy beach backdrop","Midday festive energy, bright sunlight","Frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Leaping dramatically ","Elegant vintage","white with lace trim","crop top","Sheer chiffon","g-string","tan","Flip-flops","gold anklet","Bold and vibrant","Vibrant glow, ruby red lipstick, bold eyeliner","Cliffside yoga platform with smooth stone flooring, misty valley view, wildflowers in purple and yellow, wooden meditation bench, rising sun","Twilight romantic glow, pastel hues","Dynamic frontal angle shot, engaging the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Orientation","Wide Shot"
"","","","","","Sitting on a ledge, toes pointing towards the viewer, adjusting a damp crop top","","","","","","","","","","","","","","","",""
"","","","","","Leaning against a fountain, sheer blouse clinging to skin","","","","","","","","","","","","","","","",""
"","","","","","Posing with one hand on hip, loose shirt slipping off shoulder","","","","","","","","","","","","","","","",""
"","","","","","Leaning against a wall, damp sundress clinging to skin","","","","","","","","","","","","","","","",""
"","","","","","Sitting on a bench, toes pointing towards the viewer, adjusting a loose crop top","","","","","","","","","","","","","","","",""
"","","","","","Leaning in a doorway, unbuttoned blouse revealing bare shoulders","","","","","","","","","","","","","","","",""
"","","","","","Tugging a damp shirt clinging to skin","","","","","","","","","","","","","","","",""
"","","","","","Unbuttoning a shirt, revealing bare shoulders","","","","","","","","","","","","","","","",""
"","","","","","Standing in a fountain, damp sundress clinging to skin","","","","","","","","","","","","","","","",""
"","","","","","Sitting on a stool, toes pointing towards the viewer, adjusting a damp blouse","","","","","","","","","","","","","","","",""
"","","","","","Reclining on a blanket, toes pointing towards the viewer ","Nautical flair","oversized","tunic","damson","leggings","barefoot","beaded anklet","rose quartz pendant","Radiant and carefree","Bold red lipstick, smoky eyeshadow, glowing highlighter","Modern bedroom with a minimalist design, featuring a low-profile bed with beige bedding, a textured wall with subtle gold flecks, and a large floor-to-ceiling window allowing ethereal morning light to flood the room, surrounded by a dreamy atmosphere with soft ambient glow from recessed ceiling lights casting a faint rainbow shimmer","Morning tranquil charm, soft natural light","Reverse shot, capturing engaged expression","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Low-Angle Shot"
"","","","","","Weaving a basket ","Romantic summery","iridescent purple","flowy dress","Ash grey","tank top","Pink","beaded anklet","pink scrunchie","Graceful and balanced","Dewy finish, nude lip tint, subtle blush","Outdoor hot spring surrounded by bamboo, steam rising, warm lantern light in the evening","Afternoon quiet focus with soft, diffused light casting a gentle glow","Frontal soft-focus shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus, intricate textures","Landscape","Cinematic Framing"
